date,regime_name,n_symbols,w_AAPL,w_AMZN,w_AVGO,w_GOOGL,w_GS,w_IWM,w_JPM,w_META,w_MSFT,w_NVDA,w_QQQ,w_SPY,w_TSLA,w_XOM,ret_AAPL,ret_AMZN,ret_AVGO,ret_GOOGL,ret_GS,ret_IWM,ret_JPM,ret_META,ret_MSFT,ret_NVDA,ret_QQQ,ret_SPY,ret_TSLA,ret_XOM
2024-09-16,sideways_quiet,14,0.5988989833843152,0.5249655193399468,0.32304521959881516,0.6073882581128123,0.5254155426699058,0.6634034544697962,0.5654163148423137,0.48055583557938825,0.7143281466359471,0.33563556722829163,0.6886133014012583,0.9980957324340479,0.2924669352279324,0.7173033238639411,0.0021702853581153196,0.010705675426824473,-0.009495020801613937,0.007940111954433093,0.0004739807043323296,0.008237669731574785,0.0066649302729501515,0.005684342013535282,0.008794151475529633,-0.010242396778088237,0.0005281337043686512,0.0004085237096515261,0.004794890315022082,0.012958013077744458
2024-09-17,sideways_quiet,14,0.5538321193234969,0.5783357638802307,0.32304521959881516,0.6073882581128123,0.5577037790875263,0.6267468277086404,0.6330851259295511,0.48055583557938825,0.6906259423064698,0.33563556722829163,0.6886133014012583,0.9717037243945064,0.2924669352279324,0.7489786627853289,0.01782990085169955,-0.002410931547252041,-0.004936167567428303,0.003070790034897495,-0.001670213024027053,0.000182259883278926,-0.008253807718072,0.003034630221578375,-0.010023633235808694,-0.01939258536807167,-0.004338926745886576,-0.002970259928318526,-0.0029445960609886415,0.003497131752136543
2024-09-18,sideways_quiet,14,0.5783870597436332,0.5783357638802307,0.3461764448479983,0.6073882581128123,0.5294345528283022,0.6555423325066212,0.5123239523019986,0.48055583557938825,0.6906259423064698,0.33563556722829163,0.7397362146123659,0.9717037243945064,0.2924669352279324,0.7282055098122626,0.036395122513137555,0.018283807518041345,0.03494840500737993,0.014474561475125016,0.03895637426453573,0.020387717536826194,0.014114714781869193,0.03856266263420382,0.018125866883636998,0.038925515284051825,0.024969841624648444,0.016920441150731776,0.07100962175825201,0.0123169061453546
2024-09-19,sideways_quiet,14,0.6303164812906195,0.5514424102197145,0.3826298044064342,0.6073882581128123,0.562002729560483,0.7052922982084708,0.5495376237175574,0.5080584601452622,0.735013260672394,0.33563556722829163,0.7397362146123659,1.0628177648535264,0.2924669352279324,0.7604362451439471,-0.0029317113810075224,0.009070295653554553,0.021742602275343064,0.008903119424967802,-0.01077573935023716,-0.010773520061488975,0.002893949036028311,0.0040162490472135225,-0.00782651590167437,-0.015992154433903553,-0.0019051215573405876,-0.004792685833681076,-0.023519752638904136,-0.006313017615796495
2024-09-20,sideways_quiet,14,0.6303164812906195,0.5827829140613895,0.4319435807540248,0.6073882581128123,0.5219476958419266,0.7701258714088444,0.5941849045197415,0.5453279122881016,0.735013260672394,0.33563556722829163,0.8033354860809132,1.1987064491798491,0.2699206583884499,0.7007344560012658,-0.0076099328450285,0.011829538769620484,0.010696511078994919,-0.0106932571369871,-0.0020485005103410576,-0.003662486014855816,0.0016567163731910119,0.005436336757659538,-0.0040516164232865534,0.002238889541435066,0.0012429178728323525,0.0024957530732319768,0.048140375327935025,0.01796896554483607
2024-09-23,sideways_quiet,14,0.7582105802059954,0.5827829140613895,0.378496939638303,0.6073882581128123,0.5894417361457248,0.7386863429655935,0.6451244854383401,0.4932149665123662,0.735013260672394,0.33563556722829163,0.8555379220243173,0.9929014410469086,0.2699206583884499,0.7838481410390419,0.00396613380708865,0.00041255068996117736,0.010926521400269196,0.002714798875029228,0.001225571727598793,0.0016746722621600772,0.0007091407380231218,-0.0019152577618333957,-0.010061744414565128,0.03888652994700413,0.0048119929769617304,0.0028572285574197773,0.016935793509053217,-0.0026449190262266328
2024-09-24,sideways_quiet,14,0.7582105802059954,0.6222862100866648,0.3375763228384172,0.6073882581128123,0.5894417361457248,0.7855560627013758,0.6005232610197923,0.5225600606774299,0.7560172045060465,0.33563556722829163,0.8179140720388551,1.0780258910523912,0.2699206583884499,0.7838481410390419,-0.004407817871880573,-0.007400007450933529,0.0038817718190285212,-0.004941561701740734,-0.013910965440511477,-0.01567874232258811,-0.006638527393500815,0.008801407783397955,0.006827009443737903,0.021606531151130978,0.0009267233766956491,-0.002207949104108439,0.010757148762662457,-0.019671123565826315
2024-09-25,sideways_quiet,14,0.7901552981292654,0.6222862100866648,0.3375763228384172,0.6073882581128123,0.5338482000132944,0.7855560627013758,0.6005232610197923,0.5225600606774299,0.789668089408344,0.3066073060202388,0.8179140720388551,1.043501733339459,0.2699206583884499,0.7838481410390419,0.005067358248290247,-0.007141186533660476,0.014535999056010555,0.007649104161135171,0.011699825007119103,0.005314547898036246,-0.0019525384726337884,-0.0008273040000551068,-0.0018530681191624933,0.004281959867217117,0.0074849755567170774,0.003956812826083578,-0.010953821465680538,-0.017313730324802493
2024-09-26,bull_quiet,14,1.4157290656359434,1.108930999045458,0.6457985224117877,1.2729185528418951,1.1546149960854442,1.5,1.2287788897626073,1.044211273334026,1.4900891778798429,0.6610036550497829,1.5,1.5,0.5150391320246216,1.5,0.001185957026045604,-0.0168284107446147,-0.03079092619057657,0.007469125259086756,0.003194594603459133,0.006739839260667192,0.003426296407946361,-0.0008457391250136057,-0.007657185647963324,-0.02151321041873548,-0.005572531306478623,-0.00145137093237895,0.024249227064234113,0.026420893044180657
2024-09-27,bull_quiet,14,1.4572282938522407,1.1788570522216009,0.7144480529455615,1.2729185528418951,1.1546149960854442,1.5,1.1996179041567483,1.1049229725013288,1.4225182925092619,0.6106088545768674,1.5,1.5,0.5150391320246216,1.3565685891355144,0.02261433114638181,-0.008763077056375612,-0.0011008572626720553,0.011522317517778682,-0.006843738453875646,0.002538406498980516,0.0017087559209494146,0.008913933640338387,0.005312713681697706,0.0003294425567092951,0.0027082089433718114,0.003999270284267758,0.004482044837533062,0.01201526229933238
